reference,ave,total time, stdev
2,1.4034155245865394,180.8289989971186,0.000162859334605777
4,3.222913372999972,180.4503529955737,0.0002953264788578006
6,5.126102163817445,180.8202399941496,0.0005411378260030751
8,7.170569737687887,180.54234999315887,0.0011088737735937804
10,9.070371309850069,180.74768599204123,0.0019088539276960086
12,11.098297521122372,180.46160899076844,0.006239463770296635
13,12.01525067203696,180.13929999057302,0.013515587976484042
14,13.036441491924398,180.21726199004252,0.0168347897094391
15,14.054465849690537,180.72117098978376,0.022397978388202185
16,15.02486847777089,180.75286098923098,0.007276736373033863
17,16.073794767821745,180.62172898885657,0.026463200073518416
18,17.059336368205013,180.7275859880594,0.02017276931468132
19,18.22920007776733,180.74326398745305,0.00787233690654516
20,19.11902493036381,180.06218798766386,0.4314459727956937
21,19.879614691610577,180.226305986906,0.47248383793946547
23,18.309100324393224,147.8215499850725,0.4713275020452311
25,11.665662597515373,86.84771699189929,0.10127049902727253
24,16.137491374693813,110.1359829894702,0.25978081438777806
22,18.475287048549752,152.55895798497204,0.48043755979997693
