reference, ave_bw, total_time analysed, stdev
2,1.5284195755796628,180.82952799605425,0.00015769653164764873
4,3.215744391020999,180.73741599327406,0.0007356936031703049
6,5.033401495524539,180.55810599017002,0.0023576442715838824
8,6.970742193087918,180.75741098694056,0.005183592902485667
10,8.765330456653684,182.75586498350444,0.0006809363449244589
20,18.848904759395314,180.10980398570965,0.935868293854009
15,13.477396172008726,157.95236898632453,0.0008465932570000014
17,15.678567719053953,157.76992798607867,0.5477646888340988
18,16.451848799238853,156.60969498669374,0.5267047383228298
16,14.715251124094824,152.0448619862495,0.5787897207480873
14,12.588749428303753,157.79656698526105,0.4698321911694737
21,19.09086517409183,179.84287098373096,0.6732806167131429
25,11.268664530332638,86.56783399152307,0.06918501177333909
22,17.174699089786017,134.0777039887393,0.3724208341197398
24,16.05023229915015,101.02041699009256,0.26288217081382687
19,18.12556050023975,176.72026498477834,0.8425606319852655
13,11.572191253350246,165.55288298517857,0.42085924688597953
23,17.35919310905256,135.70100198790684,0.38140159645773036
12,10.780581313589595,167.9304459841969,0.3278950180727244
