reference, ave time, number vals, stdev, tail99
22,0.6051066217732884,891,0.1817573118030264,0.966
24,0.6108131313131312,990,0.4411299476760329,1.654
4,0.1730974499089253,3294,0.004600286367476635,0.188
19,0.2463692722371967,2226,0.06757439232987289,0.429
25,4.534242424242424,66,7.89253169057211,35.26
23,0.5732576687116564,978,0.2617554296991338,1.353
21,0.3866376503892428,1413,0.10462978401711101,0.631
20,0.2970581395348837,1806,0.081051427063913,0.509
18,0.21710424242424242,2475,0.04431781959344331,0.391
10,0.17903343070431674,3081,0.006277721556277799,0.194
16,0.18924495476687547,2874,0.01462797236291774,0.243
12,0.17939757456571612,3051,0.008168632838824273,0.2
14,0.18114899999999998,3000,0.01089985316414859,0.212
17,0.19442112776588152,2802,0.021087976125221418,0.28
13,0.1785887788778878,3030,0.00715642337614005,0.199
15,0.17791707002258794,3099,0.008256216662834968,0.205
8,0.17047743541861185,3213,0.004827804045098328,0.184
6,0.16594660194174754,3708,0.005542213873863258,0.184
2,0.16300953984287317,3564,0.004263608819984443,0.179
