index, mean, mean_truncated, num_samples, run_time, stdev
SHORT (3min) Runs
24,24.123902390109862,24.332932064612677,63947,19.385689000000003,4.359061551844179
25,23.73016225397139,24.115614197472503,66061,19.310003000004773,4.893171911376789
23,21.149433998415155,21.398054987843736,103734,20.45921700000728,5.598281689045034
18,16.69028376053289,16.165808547513496,118517,18.696392999999997,5.002109250633657
19,17.085072239671458,16.564581572449477,127466,19.908911999999997,5.035197553070265
20,18.238138574067083,17.76321593954622,138874,22.407265000000002,5.400730566830162
22,19.594131171537228,19.562530875740343,162790,29.699699000000003,5.662096579529585
21,18.331714930941434,17.884845184307455,192697,31.789384,5.484806052217463
LONG (5min) Runs
24,23.381229678617316,23.967999300814164,80552,22.157918000000002,5.074945720729948
24.5,23.33356920902359,23.779936287248812,81412,22.532170000010435,5.5255318962939555
25.5,25.210102490786742,24.607950809514204,82201,25.19312900000551,5.527165314513334
25,24.937631283679423,24.57615665608165,83258,23.880974,4.46049976600378
23.5,22.289215459841447,22.93945424341712,103143,25.586105,5.835520969556569
26,25.195863945109423,24.433082218168096,103740,26.657255999993698,6.001070485512916
23,20.5793035030962,20.688525826342744,118007,23.658697000052797,5.990818389786633
